,artist,song_name,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,pca1,pca2
31,Richard Anthony,"Itsy Bitsy, Petit Bikini",-,+,+,+,-,-,+,=,-,+,+,-21.98872608603489,-12.146894618420808
32,James Brown,Make It Funky - Pt. 1,+,+,+,+,-,-,-,+,-,+,+,4.926959133472119,4.797592550445035
33,C-Bo,Realest N*ggas Around,+,+,+,+,-,+,-,=,-,+,+,-15.158311556301967,-13.692238461162484
34,Graham Parker,Broken Skin,-,+,+,=,-,-,+,+,-,+,+,-16.977873660087337,3.7645091024460027
35,Muddy Waters,Look What You've Done - Single Version,+,+,+,+,-,-,+,+,-,+,+,-3.71806169847196,11.446000991874833
36,Ludacris,Area Codes,+,+,+,+,-,+,-,=,+,+,+,41.01392403773487,-7.531483911264712
37,Jack Wall,Wunderfizz – “Origins”,+,+,+,=,-,-,+,=,-,-,+,-1.8930942983051986,-5.988578360142923
38,Jason Danieley,The Sultan's Lament,-,+,+,=,-,-,+,=,-,-,+,-16.633684374802638,1.018081327235358
39,The New Seekers,Inspiration,-,+,+,+,-,-,+,+,+,+,+,-18.510931952032724,-6.486375824480061
40,Trisha Yearwood,Come Fly with Me,+,+,+,+,-,-,-,=,-,+,+,7.177628587822946,26.15892235261437
41,Mary Wells,You Beat Me To The Punch - Mono Single,+,+,+,+,-,-,+,=,-,+,+,12.688609506016315,-13.623229240098254
42,Danny Stewart,I'll Change My Ways,-,+,+,+,-,-,+,+,-,+,+,-19.02129282479184,-12.644067434220503
43,Wu-Tang Clan,Wu-Tang Reunion,+,+,+,+,-,-,-,+,-,+,+,7.4047582070805475,6.460490469803828
44,Paul Anka,Let The Bells Keep Ringing,+,+,+,+,-,-,-,=,+,+,+,-12.386013851320605,-14.964824273484655
45,Spose,Jimmy (Live),-,+,+,+,-,-,-,=,+,-,+,-11.703457258445415,8.366480179683503
46,Aminé,STFU,+,+,+,=,-,-,-,+,+,-,+,-10.672742132300247,-4.000332950512207
47,Miguel,waves (feat. Kacey Musgraves) - Remix,+,+,+,=,-,-,+,+,-,-,+,0.9612504373312712,-2.8185065457098277
